row_number,mth,Dint,age,female,male,Dtol,div,Dkli,Dmco,Dmco1,Dmco2,Dmco3,cov,TI,QI,MCI,GIS
147,2020-02,0,81,120,388,0,14,1,0,0,0,0,1,,,,
148,2020-02,0,82,98,265,0,15,1,0,0,0,0,1,,,,
149,2020-02,0,83,95,173,0,13,1,0,0,0,0,1,,,,
150,2020-02,0,84,62,129,0,14,1,0,0,0,0,1,,,,
151,2020-02,0,85,61,96,0,14,1,0,0,0,0,1,,,,
152,2020-02,0,86,34,76,0,13,1,0,0,0,0,1,,,,
153,2020-02,0,87,34,54,0,14,1,0,0,0,0,1,,,,
154,2020-02,0,88,10,44,0,14,1,0,0,0,0,1,,,,
155,2020-02,0,89,12,37,1,14,1,0,0,0,0,1,,,,
156,2020-02,0,90,12,28,0,12,1,0,0,0,0,1,,,,
157,2020-02,0,91,7,20,0,13,1,0,0,0,0,1,,,,
158,2020-02,0,92,12,16,0,12,1,0,0,0,0,1,,,,
159,2020-02,0,93,4,6,0,7,1,0,0,0,0,1,,,,
160,2020-02,0,94,3,2,0,9,1,0,0,0,0,1,,,,
161,2020-02,0,95,4,3,0,10,1,0,0,0,0,1,,,,
162,2020-02,0,96,5,1,0,7,1,0,0,0,0,1,,,,
163,2020-02,0,97,0,2,0,2,1,0,0,0,0,1,,,,
164,2020-02,0,98,0,2,0,6,1,0,0,0,0,1,,,,
165,2020-02,0,99,1,0,0,9,1,0,0,0,0,1,,,,
166,2020-02,0,100,1,0,0,1,1,0,0,0,0,1,,,,
167,2020-03,0,18,4,6,0,8,1,1,1,0,0,88,,,,
168,2020-03,0,19,58,139,1,14,1,1,1,0,0,88,,,,
169,2020-03,0,20,105,284,1,15,1,1,1,0,0,88,,,,
170,2020-03,0,21,107,421,0,14,1,1,1,0,0,88,,,,
171,2020-03,0,22,178,587,1,14,1,1,1,0,0,88,,,,
172,2020-03,0,23,292,"1,023",0,15,1,1,1,0,0,88,,,,
173,2020-03,0,24,471,"1,382",0,16,1,1,1,0,0,88,,,,
174,2020-03,0,25,558,"1,753",0,16,1,1,1,0,0,88,,,,
175,2020-03,0,26,815,"2,296",1,17,1,1,1,0,0,88,,,,
176,2020-03,0,27,909,"2,611",0,17,1,1,1,0,0,88,,,,
177,2020-03,0,28,"1,027","2,737",0,18,1,1,1,0,0,88,,,,
